super_bowl,musician,num_songs
1,"University of Arizona Symphonic Marching Band, Grambling State University Marching Band, Al Hirt, Anaheim High School Ana-Hi-Steppers Drill Team and Flag Girls",17
2,Grambling State University,1
3,"Florida A&M University band, Miami-area high school bands",1
4,"Marguerite Piazza, Doc Severinsen, Al Hirt, Lionel Hampton, Carol Channing, Southern University Marching Band",5
5,"Southeast Missouri State, Anita Bryant, Up With People",1
6,"Ella Fitzgerald, Carol Channing, Al Hirt, USAFA Cadet Chorale, U.S. Marine Corps Drill Team",3
7,"University of Michigan Marching Band, Woody Herman, Andy Williams",13
8,"University of Texas Longhorn Band, Judy Mallett ( Miss Texas 1973) on fiddle",1
9,"Mercer Ellington, Grambling State University",1
10,Up with People,21
11,card stunt,13
12,"Tyler Apache Belles Drill Team, The Apache Band, Pete Fountain, Al Hirt",1
13,"Ken Hamilton, Various Caribbean bands, including Gramacks out of Dominica",1
14,"Up with People, Grambling State University Marching Bands",31
15,"Southern University Marching Band, Helen O'Connell",1
16,Up with People,41
17,Los Angeles Super Drill Team,13
18,"University of Florida, Florida State University",13
19,Tops in Blue,1
20,Up with People,17
21,"George Burns, Mickey Rooney, Grambling State University and USC Marching Bands, Disney characters, Southern California -area high school drill teams and dancers",15
22,"Chubby Checker, The Rockettes, 88 grand piano players (various), The combined San Diego State University Marching Aztecs, California State University Northridge Marching Band and USC Marching Bands",11
23,"Elvis Presto, South Florida -area dancers and performers",15
24,"Pete Fountain, Doug Kershaw, Irma Thomas, Nicholls State University Marching Band, Southern University Marching Band, USL Marching Band",11
25,"New Kids on the Block, Disney characters, Warren Moon, 2,000 local children, Audience ( card stunt )",13
26,"Gloria Estefan, Olympic figure skaters Brian Boitano and Dorothy Hamill, Members of the 1980 US Olympic Hockey Team, University of Minnesota Marching Band",17
27,Michael Jackson,11
28,"Clint Black, Tanya Tucker, Travis Tritt, The Judds",11
29,"Patti LaBelle, Indiana Jones & Marion Ravenwood, Teddy Pendergrass, Tony Bennett, Arturo Sandoval, Miami Sound Machine",9
30,Diana Ross,21
31,"The Blues Brothers ( Dan Aykroyd , John Goodman and Jim Belushi ), ZZ Top, James Brown, Catherine Crier (""news"" intro)",15
32,"Boyz II Men, Smokey Robinson, Martha Reeves, The Temptations, Queen Latifah, Grambling State University Marching Band",19
33,"Gloria Estefan, Stevie Wonder, Big Bad Voodoo Daddy, Savion Glover",15
34,"—, Phil Collins, Christina Aguilera, Enrique Iglesias, Toni Braxton, 80-person choir ( Georgia State University ), Edward James Olmos (narrator)",11
35,"Britney Spears, Mary J. Blige, Nelly, Aerosmith, NSYNC",11
36,"—, U2",7
37,"Sting, Shania Twain, No Doubt",9
38,"Spirit of Houston, Ocean of Soul, Janet Jackson, P. Diddy, Nelly, Kid Rock, Justin Timberlake, Jessica Simpson",23
39,"—, Paul McCartney",9
40,"—, The Rolling Stones",7
41,"Florida A&M University Marching 100 Band, Prince",17
42,"—, Tom Petty and the Heartbreakers",9
43,"The Miami Horns, Bruce Springsteen, E Street Band",9
44,"The Who, —",11
45,"The Black Eyed Peas, Usher, Slash, Dallas/Ft. Worth -area area high school drill teams and dancers, Prairie View A&M University Marching Storm",19
46,"Madonna, LMFAO, Cirque du Soleil, Nicki Minaj, M.I.A., Cee Lo Green, Andy Lewis, Avon High School Drumline, Center Grove High School Drumline, Fishers High School Drumline, Franklin Central High School Drumline, Southern University Dancing Dolls, 200-person choir consisting of Indianapolis locals",17
47,"Beyoncé, Destiny's Child",21
48,"Bruno Mars, Red Hot Chili Peppers",13
49,"Katy Perry, Lenny Kravitz, Missy Elliott, Arizona State University Sun Devil Marching Band",19
50,"Coldplay, Beyoncé, Bruno Mars, Mark Ronson, Gustavo Dudamel, University of California Marching Band, Youth Orchestra Los Angeles",33
51,"Lady Gaga, —",27
52,"Justin Timberlake, The Tennessee Kids, University of Minnesota Marching Band",23
53,"Maroon 5, Travis Scott, Big Boi, Georgia State University Marching Band",21
54,"Shakira, Jennifer Lopez, Bad Bunny, J Balvin, Emme Muñiz",49
55,"The Weeknd, —",19
56,"Dr. Dre, Snoop Dogg, Eminem, Mary J. Blige, Kendrick Lamar, 50 Cent, Anderson .Paak",23
57,"Rihanna, —",41
58,"Usher, Alicia Keys, Jermaine Dupri, H.E.R., will.i.am, Lil Jon, Ludacris, Sonic Boom of the South",35
59,"Kendrick Lamar, Samuel L. Jackson, SZA, Serena Williams, Mustard",25
